102.22.20.125 - - [09/Feb/2026:00:25:20 +0000] "GET /admin/config.php HTTP/1.0" 404 4836 "-" "xfa1,nvdorz,nvd0rz"
170.64.211.69 - - [09/Feb/2026:00:36:11 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
170.64.211.69 - - [09/Feb/2026:01:07:37 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
71.6.232.20 - - [09/Feb/2026:02:44:40 +0000] "GET / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
35.203.210.36 - - [09/Feb/2026:03:23:59 +0000] "GET / HTTP/1.1" 301 0 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
35.203.210.36 - - [09/Feb/2026:03:23:59 +0000] "GET /brand/login HTTP/1.1" 200 2516 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
170.64.211.69 - - [09/Feb/2026:05:19:13 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
176.65.134.20 - - [09/Feb/2026:05:37:54 +0000] "PROPFIND / HTTP/1.1" 501 32 "http://13.233.215.145:443/" "-"
170.64.211.69 - - [09/Feb/2026:05:39:07 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
45.148.10.124 - - [09/Feb/2026:05:51:36 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 YaBrowser/19.9.1.64 (beta) Yowser/2.5 Safari/537.36"
170.64.211.69 - - [09/Feb/2026:06:10:32 +0000] "GET /.git/config HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
104.253.36.105 - - [09/Feb/2026:07:33:24 +0000] "GET /.env HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
104.253.36.105 - - [09/Feb/2026:07:33:25 +0000] "POST / HTTP/1.1" 404 2218 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
